序,證券商,成交單價,買進股數,賣出股數
204,5852  統一敦南,33.95,"1,000",0
205,5852,34.25,"1,000",0
206,5857  統一新竹,34.25,0,"1,000"
207,585B  統一永和,34.65,"1,000",0
208,585C  統一三民,33.80,"2,000",0
209,585C,34.20,0,"2,000"
210,585N  統一大里,34.65,0,"2,000"
211,585Q  統一三多,34.30,0,"5,000"
212,585R  統一汐止,33.80,"1,000",0
213,585R,34.10,0,"3,000"
214,585U  統一南京,33.75,"13,000",0
215,585U,33.80,"87,000",0
216,585W  統一金門,33.80,0,"2,000"
217,5861  盈溢籬子內,33.90,0,"1,000"
218,5921  元富高雄,34.20,0,"5,000"
219,5921,34.30,"2,000",0
220,5921,34.65,389,0
221,5921,34.70,0,"9,000"
222,5922  元富新店,34.05,"3,000",0
223,5927  元富林園,34.65,0,"5,000"
224,5929  元富台南,34.25,0,"2,000"
225,592D  元富大昌,34.15,0,"1,000"
226,592D,34.40,"1,000",0
227,592D,34.65,0,"1,000"
228,592e  元富古亭,33.85,"1,000",0
229,592g  元富中原,33.80,"5,000",0
230,592g,34.00,"1,000",0
231,592g,34.50,"3,000",0
232,592I  元富嘉義,34.15,0,"1,000"
233,592I,34.20,0,"2,000"
234,592I,34.30,"3,000",0
235,592j  元富府中,33.80,"1,000",0
236,592j,34.10,"2,000",0
237,592j,34.65,0,"2,000"
238,592l  元富大裕,34.20,0,"10,000"
239,592m  元富成功,34.00,"2,000",0
240,592o  元富新興,33.80,"2,000",0
241,592o,34.25,"4,000",0
242,592q  元富屏東,33.70,"1,000",0
243,592q,33.80,"2,000",0
244,592q,33.95,"1,000",0
245,592q,34.05,"1,000",0
246,592q,34.15,"1,000",0
247,592q,34.65,0,"4,000"
248,592r  元富城東,34.35,0,"23,000"
249,592r,34.65,0,519
250,592S  元富基隆,34.30,0,"1,000"
251,592u  元富世貿,33.75,"3,000",0
252,592u,34.00,"5,000",0
253,592u,34.05,"3,000",0
254,592u,34.10,"3,000",0
255,592u,34.15,"3,000",0
256,592u,34.20,"3,000",0
257,592u,34.70,0,"1,000"
258,592X  元富草屯,33.95,0,"7,000"
259,592X,34.00,0,"3,000"
260,592X,34.25,0,"2,000"
261,592z  元富文心,33.80,"1,000",0
262,592z,34.00,0,"1,000"
263,6010  ★    亞,33.80,"1,000",0
264,6010,33.85,"1,000",0
265,6010,34.00,"3,000",0
266,6010,34.05,"2,000",0
267,6010,34.20,"2,000",0
268,6012  ★亞網路,33.70,0,"1,000"
269,6012,33.90,0,"1,000"
270,6162  中信託忠,33.85,"1,000",0
271,6380  光    和,34.10,0,"1,000"
272,6450  永    全,33.85,0,"6,000"
273,6451  永全南崁,34.10,"2,000",0
274,6460  大    昌,33.80,0,"2,000"
275,6461  大昌樹林,33.85,"1,000",0
